"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HMHC","Houghton Mifflin Harcourt Company","6.12","$760.91M","2013","Consumer Services","Books","https://old.nasdaq.com/symbol/hmhc",
"HWCC","Houston Wire & Cable Company","4.08","$66.91M","2006","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/hwcc",
"HOVNP","Hovnanian Enterprises Inc","5.3222","$26.61M","n/a","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/hovnp",
"HBMD","Howard Bancorp, Inc.","16.83","$321.15M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hbmd",
"HTGM","HTG Molecular Diagnostics, Inc.","0.72","$41.79M","2015","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/htgm",
"HTHT","Huazhu Group Limited","40.19","$11.83B","2010","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/htht",
"HUBG","Hub Group, Inc.","53.19","$1.81B","1996","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/hubg",
"HSON","Hudson Global, Inc.","12","$35.27M","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/hson",
"HDSN","Hudson Technologies, Inc.","0.7723","$32.92M","n/a","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/hdsn",
"HHT","Huitao Technology Co., Ltd.","1.45","$10.98M","n/a","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/hht",
"HBAN","Huntington Bancshares Incorporated","14.53","$15.01B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hban",
"HBANN","Huntington Bancshares Incorporated","26.38","$2.64M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hbann",
"HBANO","Huntington Bancshares Incorporated","26.25","$20.91B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hbano",
"HURC","Hurco Companies, Inc.","33.59","$227.31M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/hurc",
"HURN","Huron Consulting Group Inc.","68.6","$1.57B","2004","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/hurn",
"HCM","Hutchison China MediTech Limited","26.33","$3.51B","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/hcm",
"HBP","Huttig Building Products, Inc.","1.61","$42.73M","n/a","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/hbp",
"HVBC","HV Bancorp, Inc.","16.9738","$38.51M","2017","Finance","Major Banks","https://old.nasdaq.com/symbol/hvbc",
"HYRE","HyreCar Inc.","3.01","$49.33M","2018","Consumer Services","Rental/Leasing Companies","https://old.nasdaq.com/symbol/hyre",
"IIIV","i3 Verticals, Inc.","29.3","$802.94M","2018","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/iiiv",
"IAC","IAC/InterActiveCorp","258.86","$21.9B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/iac",
"IBKC","IBERIABANK Corporation","72.83","$3.81B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ibkc",
"IBKCN","IBERIABANK Corporation","26.87","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ibkcn",
"IBKCO","IBERIABANK Corporation","28.39","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ibkco",
"IBKCP","IBERIABANK Corporation","29","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ibkcp",
"ICAD","icad inc.","8.31","$160.88M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/icad",
"IEP","Icahn Enterprises L.P.","63.77","$13.23B","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/iep",
"ICCH","ICC Holdings, Inc.","13.5869","$44.83M","2017","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/icch",
"ICFI","ICF International, Inc.","91.88","$1.73B","2006","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/icfi",
"ICHR","Ichor Holdings","32.51","$731.3M","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/ichr",
"ICLK","iClick Interactive Asia Group Limited","3.28","$187.51M","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/iclk",
"ICLR","ICON plc","168.95","$9.06B","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/iclr",
"ICON","Iconix Brand Group, Inc.","1.42","$16.66M","n/a","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/icon",
"ICUI","ICU Medical, Inc.","187.6","$3.88B","1992","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/icui",
"IPWR","Ideal Power Inc.","2.45","$5.14M","2013","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/ipwr",
"IDEX","Ideanomics, Inc.","0.72","$99.11M","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/idex",
"IDYA","IDEAYA Biosciences, Inc.","8.46","$172M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/idya",
"INVE","Identiv, Inc.","6.97","$117.74M","n/a","Technology","Computer peripheral equipment","https://old.nasdaq.com/symbol/inve",
"IDRA","Idera Pharmaceuticals, Inc.","1.75","$50.53M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/idra",
"IDXX","IDEXX Laboratories, Inc.","271.68","$23.31B","1991","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/idxx",
"IEC","IEC Electronics Corp.","9.4","$98.69M","n/a","Technology","Electrical Products","https://old.nasdaq.com/symbol/iec",
"IESC","IES Holdings, Inc.","25.84","$546.73M","n/a","Capital Goods","Engineering & Construction","https://old.nasdaq.com/symbol/iesc",
"IROQ","IF Bancorp, Inc.","22.82","$74.52M","2011","Finance","Savings Institutions","https://old.nasdaq.com/symbol/iroq",
"IFMK","iFresh Inc.","0.42","$7.71M","n/a","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/ifmk",
"IGMS","IGM Biosciences, Inc.","33.15","$1.01B","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/igms",
"IHRT","iHeartMedia, Inc.","16.97","$1.09B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/ihrt",
"INFO","IHS Markit Ltd.","77.21","$30.96B","1996","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/info",
"IIVI","II-VI Incorporated","37.04","$3.37B","1987","Capital Goods","Electronic Components","https://old.nasdaq.com/symbol/iivi",
